Plus(+2.0X^1+5.0X^4,+7.0X^0-30.12X^7)
Max(-10.0X^0-37.5X^1,-12.0X^5)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
Plus(+2.0X^1,+5.0X^1)
